P (kW);Date;Time Frame;(Ta)¡C;Tm (¡C);I3 (W/m2);I15 (W/m2);;
62,47164286;9/2/13 6:17 AM;6;21,33;18,8505;101,9485714;119,9921429;;
276,8793704;9/2/13 7:55 AM;7;25,0444;29,7952;340,8148148;400,3142593;;
430,7409333;9/2/13 8:55 AM;8;27,0395;34,456;536,1068333;618,139;;
515,6476667;9/2/13 9:55 AM;9;28,77516667;39,3515;668,8795;696,436;;
483,0667667;9/2/13 10:55 AM;10;29,08283333;40,39166667;626,307;588,1166667;;
538,7890167;9/2/13 11:55 AM;11;30,06566667;41,65483333;707,7783333;746,1218333;;
459,7440167;9/2/13 12:55 PM;12;29,75316667;39,90983333;618,0913333;602,6643333;;
497,4024333;9/2/13 1:55 PM;13;29,61866667;38,60216667;681,7801667;599,32;;
479,2330833;9/2/13 2:55 PM;14;29,85683333;37,92916667;612,602;644,1355;;
345,7312333;9/2/13 3:55 PM;15;29,13333333;34,189;471,826;458,8113333;;
169,98815;9/2/13 4:55 PM;16;28,34433333;29,70533333;255,0166667;229,2271667;;
39,81708333;9/2/13 5:55 PM;17;26,6305;25,35366667;71,122;65,03983333;;
1,74645;9/2/13 6:55 PM;18;24,17966667;21,4225;1,645;2,611833333;;
0;9/2/13 7:55 PM;19;23,03066667;19,36483333;0;0;;
0;9/2/13 8:55 PM;20;22,01433333;17,838;0;0;;
0;9/2/13 9:55 PM;21;21,35616667;16,78016667;0;0;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;9/3/13 4:55 AM;4;18,3455;14,36616667;0;0,58;;
6,170483333;9/3/13 5:55 AM;5;18,28983333;14,30583333;14,2295;17,04683333;;
99,63975;9/3/13 6:55 AM;6;20,32716667;17,95283333;139,671;160,9153333;;
272,3425167;9/3/13 7:55 AM;7;24,156;26,331;329,0695;391,6243333;;
420,5703;9/3/13 8:55 AM;8;26,44516667;33,24683333;524,0938333;610,0365;;
508,4903833;9/3/13 9:55 AM;9;27,17666667;35,608;606,6823333;805,8075;;
583,4244063;9/3/13 10:25 AM;10;28,354;37,217;739,039375;856,755625;;
0;9/3/13 11:55 AM;11;29,32466667;40,66633333;0;0;;
607,45765;9/3/13 12:35 PM;12;29,4175;40,97575;808,743;889,9305;;
554,66705;9/3/13 1:54 PM;13;29,53066667;39,61566667;746,7735;748,8863333;;
440,15225;9/3/13 2:54 PM;14;28,65966667;35,727;563,9821667;591,023;;
253,4173667;9/3/13 3:54 PM;15;28,146;30,926;348,1208333;366,3943333;;
165,1084333;9/3/13 4:54 PM;16;27,83533333;29,31016667;252,1308333;226,8446667;;
32,64028333;9/3/13 5:54 PM;17;25,772;24,72116667;67,838;62,89666667;;
1,427583333;9/3/13 6:54 PM;18;23,741;21,92933333;1,471166667;2,739333333;;
0;9/3/13 7:54 PM;19;23,058;20,7175;0;0;;
0;9/3/13 8:54 PM;20;22,704;20,60833333;0;0;;
